participant,percentage_fixation,score
p1,0.9019345017391767,0.52173913
p3,0.8674844358529721,0.391304348
p5,0.6820774487471526,0.434782609
p7,0.7579703363470285,0.086956522
p11,0.873054479749315,0.347826087
p13,0.8196989834075348,0.391304348
p15,0.8751920796711915,0.565217391
p17,0.8595828679487322,0.608695652
p19,0.8161759379608483,0.434782609
p21,0.6546050345067276,0.565217391
p23,0.8260345434269001,0.391304348
p25,0.8950075944601618,0.347826087
p27,0.7555112249416446,0.086956522
p31,0.6837180644724885,0.52173913
p33,0.8385323669482592,0.347826087
p35,0.8411710903470387,0.47826087
