participant,percentage_fixation,score
p2,0.5263099517998501,0.347826087
p4,0.41757662077332913,0.391304348
p6,0.8352385034976283,0.869565217
p10,0.8255193197326012,0.608695652
p12,0.913090207025342,0.304347826
p14,0.8765450287247032,0.52173913
p16,0.8683047595986247,0.52173913
p18,0.6302519459049187,0.739130435
p20,0.6537669739470828,0.391304348
p24,0.8201190062207797,0.565217391
p28,0.5328788964239353,0.52173913
p30,0.8077170802318709,0.391304348
p32,0.7711533921278723,0.304347826
p34,0.8330493005873855,0.608695652
p36,0.7792946173937321,0.434782609
