participant,percentage_fixation,score
p1,0.8801430015924951,0.608695652
p3,0.6509781706153046,0.47826087
p5,0.42244395230529747,0.52173913
p7,0.6702100972091565,0.565217391
p11,0.8367546017473917,0.47826087
p13,0.6711917889936388,0.434782609
p15,0.5318805534004225,0.52173913
p17,0.42267772797141906,0.434782609
p19,0.6358536915607652,0.565217391
p21,0.5052076454839058,0.434782609
p23,0.7812673325684238,0.565217391
p25,0.6679549879954781,0.565217391
p27,0.5406622259815324,0.260869565
p31,0.3691053130420787,0.391304348
p33,0.7148965788080353,0.47826087
p35,0.6560774937590099,0.608695652
