,number,time,duration,screen_x,screen_y
0,1,344,120,197,205
1,2,2377,419,12,546
2,3,2816,180,2,550
3,4,3414,100,80,589
4,5,3553,379,67,591
5,6,4550,140,682,551
6,7,4849,100,652,536
7,8,5308,100,655,528
8,9,5607,120,729,573
9,10,6145,100,502,203
10,11,7102,179,250,203
11,12,8239,100,45,570
12,13,9156,100,61,645
13,14,9475,179,77,647
14,15,9814,120,73,638
15,16,10272,120,727,562
16,17,10552,100,694,532
17,18,11210,120,53,222
18,19,13263,100,81,638
19,20,15037,100,41,651
20,21,15496,120,87,660
21,22,15636,179,104,671
22,23,15835,140,95,650
23,24,16134,120,65,638
24,25,16333,100,72,623
25,26,16872,140,77,619
26,27,17649,159,35,595
27,28,17948,160,55,555
28,29,18228,120,89,612
29,30,18467,140,103,610
30,31,19204,179,92,613
31,32,21717,120,91,620
32,33,21916,180,467,859
33,34,22235,100,466,848
34,35,22913,140,447,766
35,36,23312,140,436,767
36,37,23531,120,457,765
37,38,23969,120,498,763
38,39,25365,120,711,532
39,40,25704,140,731,643
40,41,25963,279,736,620
41,42,26262,120,761,588
42,43,26522,159,733,561
43,44,26701,120,758,613
44,45,27319,219,764,645
45,46,28017,120,716,619
46,47,28894,120,819,684
47,48,29034,199,790,705
48,49,29253,140,797,729
49,50,29452,140,773,711
50,51,29931,199,785,727
51,52,30290,100,745,597
52,53,30489,100,751,618
53,54,31127,140,759,635
54,55,32582,100,69,590
55,56,33200,160,63,182
56,57,34078,180,72,567
57,58,34397,120,74,581
58,59,35414,140,75,600
59,60,36072,299,475,836
60,61,37068,179,108,621
61,62,37627,140,96,609
62,63,38025,140,99,606
63,64,38185,160,104,633
64,65,38384,100,108,628
65,66,38564,100,111,642
66,67,39282,100,91,620
67,68,40159,140,97,630
68,69,43608,120,144,619
69,70,43887,140,117,610
70,71,44585,199,765,622
71,72,44944,140,757,617
72,73,46240,100,765,774
73,74,46638,100,734,825
74,75,47097,259,755,875
75,76,47954,100,482,159
76,77,48652,100,613,187
77,78,49250,219,96,155
78,79,49789,120,531,210
79,80,50466,120,54,212
80,81,52141,100,67,597
81,82,52400,120,73,636
82,83,52779,100,18,573
83,84,53278,100,57,707
84,85,53457,100,65,695
85,86,53637,100,54,625
86,87,54075,100,73,553
87,88,54833,100,764,671
88,89,55172,180,736,618
89,90,55371,140,717,615
90,91,55690,120,756,580
91,92,55969,140,759,855
92,93,56129,120,749,842
93,94,56328,299,734,705
94,95,56787,120,742,752
95,96,57464,199,734,756
96,97,57744,199,739,760
97,98,58023,140,710,761
98,99,58222,379,709,760
99,100,58641,180,761,775
100,101,58840,299,760,797
101,102,59319,179,736,632
102,103,59678,120,695,612
103,104,60016,100,32,611
104,105,60714,140,26,646
105,106,61173,239,94,676
106,107,61572,160,110,687
107,108,62110,100,770,795
108,109,62568,160,861,772
109,110,62748,140,736,762
110,111,63107,219,776,792
111,112,63924,120,129,778
112,113,64104,180,101,801
113,114,64363,140,90,762
114,115,64622,100,105,757
115,116,64801,199,104,747
116,117,65499,120,242,233
117,118,66217,100,575,226
118,119,67094,120,453,232
119,120,67633,139,40,220
120,121,68649,120,287,218
121,122,69606,120,217,230
122,123,69766,100,271,216
123,124,70205,179,97,760
124,125,71640,100,65,635
125,126,72138,100,83,638
126,127,72537,140,58,646
127,128,72796,139,65,645
128,129,73036,100,11,599
129,130,73155,180,19,606
130,131,73654,100,115,638
131,132,73933,140,86,657
132,133,74232,219,76,666
133,134,74631,140,34,671
134,135,76525,179,745,739
135,136,76884,120,703,759
136,137,77023,319,698,754
137,138,77621,120,728,743
138,139,77880,120,751,675
139,140,78219,239,732,726
140,141,78479,140,734,731
141,142,78957,199,708,737
142,143,79416,140,773,739
143,144,79575,259,773,735
144,145,79854,140,764,743
145,146,80452,140,132,740
146,147,80911,100,110,682
147,148,81310,399,782,755
148,149,82685,120,788,748
149,150,83224,160,785,761
150,151,83403,179,783,762
151,152,83762,140,775,794
152,153,84021,179,784,797
153,154,84440,100,148,714
154,155,84599,180,109,711
155,156,86394,100,81,649
156,157,86593,100,83,645
157,158,87211,120,429,205
158,159,88507,200,623,236
159,160,88846,140,621,221
160,161,90581,120,221,239
161,162,91677,100,279,248
162,163,92395,160,94,694
163,164,93133,120,782,755
164,165,93511,100,808,721
165,166,93631,219,809,738
166,167,93870,100,755,701
167,168,94090,199,749,705
168,169,94468,219,753,843
169,170,94827,159,749,843
170,171,95007,299,734,861
171,172,95326,120,736,861
172,173,95565,160,62,774
173,174,96382,160,3,729
174,175,97619,100,63,618
175,176,98276,140,48,602
176,177,99214,100,80,732
177,178,99552,120,88,738
178,179,100171,120,100,754
179,180,101566,120,56,760
180,181,101945,140,91,859
181,182,102105,100,90,863
182,183,103839,140,46,746
183,184,104138,160,56,755
184,185,104457,120,61,912
185,186,105653,100,241,248
186,187,105972,160,52,254
187,188,107368,120,588,229
188,189,107807,100,618,255
189,190,108066,100,613,248
190,191,109441,100,739,729
191,192,109840,120,422,270
192,193,110737,100,227,267
193,194,111156,179,240,280
194,195,111375,100,234,279
195,196,111814,199,57,276
196,197,112631,100,73,604
197,198,112851,219,75,640
198,199,113230,140,43,608
199,200,113449,100,17,588
200,201,114884,140,89,694
201,202,115084,120,90,678
202,203,115582,140,107,721
203,204,116220,100,95,698
204,205,116938,180,751,627
205,206,117775,259,734,721
206,207,118673,120,693,740
207,208,118852,120,755,774
208,209,119171,120,767,783
209,210,119390,160,761,827
210,211,120108,140,789,822
211,212,120427,140,764,793
212,213,121185,140,761,810
213,214,121364,140,844,809
214,215,121623,179,777,790
215,216,122241,100,749,780
216,217,122780,120,874,796
217,218,122919,100,878,784
218,219,123218,100,777,773
219,220,123438,100,850,798
220,221,123856,199,760,780
221,222,125013,120,77,766
222,223,125252,100,773,809
223,224,125411,180,790,819
224,225,125631,319,767,806
225,226,125970,139,741,798
226,227,126229,160,717,813
227,228,126428,100,706,827
228,229,126927,120,835,833
229,230,127106,100,828,848
230,231,127325,160,772,835
231,232,127624,160,793,840
232,233,127963,140,752,844
233,234,128442,100,832,829
234,235,128562,180,825,839
235,236,129399,199,797,899
236,237,129738,100,809,880
237,238,130635,339,736,824
238,239,131014,120,719,814
239,240,131293,100,749,797
240,241,131432,100,770,780
241,242,131552,140,788,794
242,243,132031,100,840,794
243,244,132390,179,734,757
244,245,132709,179,782,792
245,246,132988,100,838,793
246,247,133187,199,854,790
247,248,133586,140,749,789
248,249,133805,100,756,782
249,250,134084,219,874,807
250,251,134981,219,780,822
251,252,136038,120,89,763
252,253,137075,100,764,798
253,254,137314,140,767,820
254,255,137613,199,769,821
255,256,137972,179,148,792
256,257,138829,219,94,787
257,258,139467,159,428,248
258,259,140165,179,608,248
259,260,141102,160,514,219
260,261,143256,100,50,178
261,262,144352,100,254,178
262,263,144850,219,81,787
263,264,145349,120,106,802
264,265,145548,100,85,776
265,266,145668,100,77,740
266,267,146146,100,73,665
267,268,146386,159,30,644
268,269,147143,120,92,616
269,270,148180,100,90,616
270,271,148439,180,92,642
271,272,149935,160,93,670
272,273,150333,140,98,686
273,274,150832,100,104,653
274,275,150991,100,96,648
275,276,151729,100,108,680
276,277,152666,100,101,635
277,278,152826,120,172,645
278,279,153503,259,728,727
279,280,154022,339,689,703
280,281,154600,160,757,735
281,282,154779,140,778,728
282,283,155118,239,766,749
283,284,155477,319,796,752
284,285,155836,120,786,767
285,286,156016,139,790,781
286,287,156235,120,803,762
287,288,156474,120,772,779
288,289,156614,179,826,765
